,ID,SMILES,EPFS_SMILES
0,DB00014,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,"""11111111111110111111111010110111"""
1,DB00035,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O,"""11111111110111011011011001010101"""
2,DB00067,NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O.NC1CSSCC(NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O,"""11111111100111011011111001010101"""
3,DB00175,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,"""01111111110000100110011110100010"""
4,DB00178,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,"""11111111110000101111111010100011"""
5,DB00181,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,"""11111110100010000011010010000010"""
6,DB00186,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,"""11111110100010000010011001000001"""
7,DB00190,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,"""11111110100010000011100010000010"""
8,DB00198,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,"""11111111111000100111010100100000"""
9,DB00200,[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H],"""11111111111010101111011010100110"""
10,DB00201,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,"""10111111100000110010011000110111"""
11,DB00207,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,"""11111101110000110110011100100000"""
12,DB00209,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,"""11111111100000001110111110000010"""
13,DB00210,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2,"""01111110101010000011011011000011"""
14,DB00213,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,"""10111110101011100010011010000011"""
15,DB00214,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,"""11111111100111110010011001100111"""
16,DB00215,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,"""11111110100010111000101011100011"""
17,DB00220,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,"""11111111110111111110011010100111"""
18,DB00221,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1,"""11111110100010101010000010100010"""
19,DB00222,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O,"""11111111110111111010111001100101"""
20,DB00224,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,"""11111111110100110111111011110111"""
21,DB00238,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,"""11111111100110000010111011000011"""
22,DB00239,ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,"""11111110101010010000001011001011"""
23,DB00244,NC1=CC(C(O)=O)=C(O)C=C1,"""11111110100010000010010010000010"""
24,DB00245,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,"""11111110100000000000001010000010"""
25,DB00246,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,"""11111111100011010011011001000111"""
26,DB00248,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC,"""11111101110000111011011000100100"""
27,DB00251,CC(C)N1CCN(CC1)C1=CC=C(OC[C@@H]2CO[C@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,"""11111110101010110001101011110011"""
28,DB00253,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,"""01111101110000100010011000100001"""
29,DB00259,NC1=CC=C(C=C1)S(N)(=O)=O,"""11111110100011000010010010000010"""
30,DB00260,N[C@@H]1CONC1=O,"""10110010001000000000000000000000"""
31,DB00261,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl,"""11111111100100010010011001000011"""
32,DB00266,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2,"""01111111100010000011011001000011"""
33,DB00267,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,"""11111111100111100010011000011000"""
34,DB00273,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,"""10111100101001100010011000100000"""
35,DB00277,CN1C2=C(NC=N2)C(=O)N(C)C1=O,"""10111111100010110010011000110101"""
36,DB00280,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C,"""11111110100000101011010010100010"""
37,DB00282,NCCC(O)(P(O)(O)=O)P(O)(O)=O,"""11111100100000001010010000000000"""
38,DB00285,COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1,"""11111110101010111010100010100010"""
39,DB00287,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F,"""01111111101000101110010100101010"""
40,DB00289,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,"""11111010100000110100000010000010"""
41,DB00302,NC[C@H]1CC[C@@H](CC1)C(O)=O,"""11111110100000000111100000000000"""
42,DB00308,CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,"""11111110100011111011010010100010"""
43,DB00310,NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12,"""11111111100111000010011010000011"""
44,DB00316,CC(=O)NC1=CC=C(O)C=C1,"""11111111100010000010010010000110"""
45,DB00319,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C(O)=O,"""11111111110101110111011010110110"""
46,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,"""11011010100000111000001011100011"""
47,DB00322,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O,"""10111111110010000010010000010100"""
48,DB00331,CN(C)C(=N)NC(N)=N,"""10011100100000110000000000100000"""
49,DB00333,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,"""11111111100000101011010010100010"""
50,DB00335,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,"""11111110101010100011010010100010"""
51,DB00340,CN1CCCC(CC2C3=CC=CC=C3SC3=CC=CC=C23)C1,"""11011110100001011001001001010001"""
52,DB00341,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,"""11111111101010010011110110010010"""
53,DB00347,CN1C(=O)OC(C)(C)C1=O,"""10111111100000110010010000110000"""
54,DB00353,[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO,"""11111111111000110111011000000100"""
55,DB00354,CC(C)(C)C1=CC=C(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)C=C1,"""11011110100010110001001011100011"""
56,DB00355,C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(=O)O)\C2=CSC([NH3+])=N2)C(=O)N1S([O-])(=O)=O,"""10111101110101100010011000111101"""
57,DB00356,ClC1=CC2=C(OC(=O)N2)C=C1,"""11111111100010000010011110000111"""
58,DB00363,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12,"""11011110100000010001101011010011"""
