Drug id,indication_id
DB00014,C0678222
DB00014,C0019080
DB00014,C0021400
DB00014,C0014175
DB00014,C0042134
DB00014,C0007097
DB00035,C0028734
DB00035,C0206062
DB00035,C0011849
DB00035,C0011848
DB00035,C0011860
DB00035,C0032617
DB00067,C0019080
DB00067,C0011849
DB00067,C0011848
DB00067,C0014394
DB00067,C0032617
DB00175,C0004153
DB00175,C0011860
DB00175,C0345996
DB00175,C0020445
DB00178,C0206062
DB00178,C0011849
DB00178,C0011860
DB00178,C0002736
DB00181,C0030193
DB00181,C0037763
DB00181,C0026769
DB00181,C0242422
DB00181,C0002736
DB00181,C0007789
DB00186,C0917801
DB00186,C0037763
DB00186,C0003467
DB00186,C0027497
DB00186,C0002622
DB00186,C0085631
DB00186,C0030319
DB00186,C0038220
DB00190,C0027497
DB00190,C0242422
DB00198,C0206062
DB00198,C0021311
DB00198,C0021400
DB00198,C0002736
DB00200,C0011991
DB00200,C0006826
DB00200,C0020550
DB00200,C0024523
DB00200,C0235974
DB00200,C0002736
DB00200,C1384353
DB00201,C0030193
DB00201,C0003578
DB00207,C0032285
DB00207,C0037199
DB00207,C0206062
DB00207,C0021311
DB00207,C0011860
DB00207,C0000833
DB00207,C0021400
DB00207,C0041582
DB00207,C0029882
DB00207,C0040425
DB00207,C0007860
DB00207,C0041976
DB00207,C0271429
DB00207,C0002736
DB00209,C0042024
DB00210,C0702166
DB00213,C0014868
DB00213,C0021400
DB00214,C0020538
DB00214,C0013604
DB00214,C0035078
DB00214,C0021400
DB00214,C0002736
DB00215,C0013146
DB00215,C0442874
DB00215,C0206062
DB00215,C0011882
DB00220,C0206062
DB00221,C0004096
DB00221,C0006277
DB00222,C0011849
DB00222,C0002736
DB00224,C0021311
DB00238,C0021311
DB00239,C0021311
DB00244,C0206062
DB00244,C0009319
DB00244,C0011860
DB00244,C0041582
DB00244,C0002736
DB00245,C0040822
DB00245,C0242422
DB00245,C0002736
DB00246,C0036341
DB00248,C0242422
DB00248,C0033375
DB00248,C0001430
DB00248,C0002736
DB00251,C0021311
DB00253,C0009763
DB00253,C0036416
DB00253,C0014583
DB00259,C0042998
DB00260,C0002736
DB00261,C0002736
DB00266,C0005779
DB00267,C0021311
DB00273,C0149931
DB00273,C0206062
DB00273,C0002736
DB00277,C0004096
DB00277,C0006277
DB00277,C0034067
DB00280,C0003811
DB00282,C0678222
DB00282,C0011860
DB00282,C0026764
DB00285,C0149931
DB00285,C0030193
DB00285,C0003467
DB00285,C0030319
DB00285,C0001818
DB00285,C0002736
DB00287,C0009421
DB00287,C0017601
DB00287,C0028840
DB00287,C0002736
DB00289,C0206062
DB00302,C0019080
DB00302,C0002736
DB00308,C0004239
DB00308,C0016059
DB00310,C0013604
DB00310,C0023890
DB00310,C0017658
DB00310,C0027726
DB00310,C0156221
DB00310,C0002736
DB00316,C0030193
DB00316,C0206062
DB00316,C0004096
DB00316,C0011860
DB00319,C0021311
DB00321,C0149931
DB00321,C0917801
DB00321,C0016053
DB00321,C0030193
DB00321,C0442874
DB00321,C0206062
DB00321,C0851578
DB00321,C0011860
DB00321,C0011882
DB00321,C0014394
DB00322,C0001418
DB00322,C0006826
DB00322,C0002736
DB00331,C0206062
DB00331,C0011849
DB00333,C0030193
DB00333,C0002736
DB00335,C0149931
DB00335,C0002962
DB00335,C0004153
DB00335,C0016059
DB00335,C0039240
DB00335,C0011860
DB00335,C0878544
DB00340,C0242422
DB00341,C0035455
DB00341,C0042109
DB00341,C0206062
DB00341,C1260880
DB00341,C0037383
DB00341,C0002103
DB00347,C0014553
DB00353,C0206062
DB00353,C0019080
DB00354,C0012833
DB00354,C0027497
DB00354,C0026603
DB00355,C0021311
DB00356,C0030193
DB00363,C0036341
DB00364,C0013395
DB00364,C0021400
DB00364,C0041582
DB00364,C0013295
DB00364,C0002736
DB00368,C0036983
DB00368,C0002736
DB00369,C0035333
DB00370,C0013146
DB00370,C0003467
DB00370,C0030319
DB00370,C0851578
DB00370,C0021400
DB00370,C0033893
DB00370,C0740858
DB00373,C0149931
DB00373,C0020538
DB00373,C0009421
DB00373,C0017601
DB00373,C0028840
DB00376,C0242422
DB00381,C0002962
DB00383,C0037763
DB00383,C0041582
DB00384,C0013604
DB00384,C0023890
DB00384,C0027726
DB00384,C0002736
DB00385,C0006826
DB00387,C0242422
DB00388,C0033117
DB00390,C0206062
DB00390,C0016059
DB00390,C0011860
DB00392,C0242422
DB00392,C0002736
DB00395,C0030193
DB00399,C0029456
DB00399,C0026764
DB00399,C0002736
DB00405,C0020517
DB00405,C0018621
DB00408,C0036341
DB00411,C0009421
DB00411,C0017601
DB00411,C0002736
DB00419,C0206062
DB00419,C0011860
