ID,Protein
DB00014,P22888
DB00014,P22888
DB00014,P30968
DB00014,P30968
DB00035,P30518
DB00035,P37288
DB00035,P47901
DB00067,P30518
DB00067,P37288
DB00067,P47901
DB00067,P30559
DB00175,P04035
DB00175,Q92769
DB00178,P12821
DB00178,P46663
DB00181,O75899
DB00181,P61073
DB00181,Q9UBS5
DB00186,P14867
DB00186,P47869
DB00186,P34903
DB00186,P48169
DB00186,P31644
DB00186,Q16445
DB00186,P18505
DB00186,P47870
DB00186,P28472
DB00186,O14764
DB00186,P78334
DB00186,Q8N1C3
DB00186,P18507
DB00186,Q99928
DB00186,O00591
DB00186,Q9UN88
DB00186,P14867
DB00186,P47869
DB00186,P34903
DB00186,P31644
DB00186,Q8N1C3
DB00186,P18507
DB00186,Q99928
DB00190,P20711
DB00198,P11485
DB00198,Q99519
DB00198,Q9Y3R4
DB00200,Q99707
DB00200,P22033
DB00200,Q8IVH4
DB00200,P20061
DB00200,Q9BXJ7
DB00200,O60494
DB00200,Q9Y4U1
DB00201,P30542
DB00201,P29274
DB00201,P29275
DB00201,P0DMS8
DB00201,Q01064
DB00201,Q08499
DB00201,Q13370
DB00201,O76074
DB00201,Q07343
DB00201,P21817
DB00201,P54750
DB00201,Q01064
DB00201,Q14123
DB00201,Q9Y233
DB00201,P27815
DB00201,Q07343
DB00201,Q08493
DB00201,Q08499
DB00201,Q9NP56
DB00201,O00408
DB00201,Q14432
DB00201,Q13370
DB00201,O76074
DB00201,P51160
DB00201,Q9HCR9
DB00201,Q13946
DB00201,O60658
DB00201,O95263
DB00201,O76083
DB00201,P16499
DB00201,P35913
DB00201,P78527
DB00201,O00329
DB00201,P42336
DB00201,P42338
DB00201,Q14643
DB00201,Q14571
DB00201,Q14573
DB00201,Q13315
DB00207,Q9UM07
DB00209,P20309
DB00209,P11229
DB00210,P10826
DB00210,P13631
DB00210,P28702
DB00210,P48443
DB00210,P19793
DB00210,P05412
DB00210,O60603
DB00210,P10276
DB00210,P17174
DB00213,P20648
DB00213,O94760
DB00214,P55011
DB00214,Q13621
DB00215,P31645
DB00215,P35367
DB00220,O90777
DB00221,P08588
DB00221,P07550
DB00222,Q14654
DB00222,P48048
DB00222,Q09428
DB00224,Q72874
DB00238,Q72547
DB00239,P10613
DB00239,Q04782
DB00239,O75469
DB00244,P35354
DB00244,P23219
DB00244,P09917
DB00244,P37231
DB00244,O15111
DB00244,O14920
DB00244,P35228
DB00245,P11229
DB00245,Q01959
DB00245,P35367
DB00245,P31645
DB00245,P23975
DB00246,P14416
DB00246,P28223
DB00246,P08908
DB00246,P28221
DB00246,P28335
DB00246,P21728
DB00246,P21918
DB00246,P35462
DB00246,P21917
DB00246,P28222
DB00246,P28566
DB00246,P50406
DB00246,P34969
DB00246,P35367
DB00246,P35348
DB00246,P35368
DB00246,P08913
DB00246,P18089
DB00246,P18825
DB00246,P11229
DB00246,P08172
DB00246,P20309
DB00246,P08173
DB00246,P08912
DB00246,P46098
DB00246,O95264
DB00246,Q8WXA8
DB00246,Q70Z44
DB00246,A5X5Y0
DB00246,P47898
DB00248,P14416
DB00248,P41595
DB00248,P35462
DB00248,P28223
DB00248,P18089
DB00248,P28221
DB00248,P21917
DB00248,P08913
DB00248,P08908
DB00248,P18825
DB00248,P21918
DB00248,P21728
DB00248,P28222
DB00248,P28335
DB00248,P34969
DB00248,P35348
DB00248,P35368
DB00248,P25100
DB00248,P08588
DB00248,P07550
DB00248,P21728
DB00248,P21918
DB00251,P10613
DB00253,P04150
DB00259,P0AC13
DB00260,P0A6J8
DB00260,Q9L888
DB00261,Q14432
DB00266,Q9BQB6
DB00266,P15559
DB00266,Q08257
DB00267,P0AD68
DB00267,Q8XJ01
DB00273,P14867
DB00273,P35498
DB00273,Q9Y5Y9
DB00273,Q9UI33
DB00273,Q99250
DB00273,Q9NY46
DB00273,P35499
DB00273,Q14524
DB00273,Q01118
DB00273,Q9UQD0
DB00273,Q15858
DB00273,P39086
DB00273,Q13002
DB00273,Q13003
DB00273,Q16099
DB00273,Q16478
DB00273,P00918
DB00273,P22748
DB00273,Q13936
DB00273,Q01668
DB00273,O60840
DB00273,Q13698
DB00273,Q02641
DB00273,Q08289
DB00273,P54284
DB00273,O00305
DB00273,P00915
DB00273,P07451
DB00273,Q15878
DB00277,P30542
DB00277,P29274
DB00277,P29275
DB00277,Q07343
DB00277,O76074
DB00277,P27815
DB00277,Q14432
DB00277,Q92769
DB00277,Q99829
DB00277,Q8TCT9
DB00277,Q15155
DB00277,P09874
DB00277,Q7Z5B4
DB00277,Q9Y4R7
DB00280,Q14524
DB00280,P11229
DB00280,P08172
DB00280,P20309
DB00280,Q9NZV8
DB00280,Q9UK17
DB00280,Q12809
DB00280,P19652
DB00282,P14324
DB00282,O95749
DB00282,P42574
DB00282,P55211
DB00285,P31645
DB00285,P23975
DB00285,Q01959
DB00287,P43088
DB00289,P23975
DB00289,P31645
DB00289,Q05586
DB00289,Q12879
DB00289,Q13224
DB00289,Q14957
DB00289,O15399
DB00289,Q8TCU5
DB00289,O60391
DB00289,P48549
DB00289,P41145
DB00302,P00747
DB00308,Q13936
DB00308,Q02641
DB00308,Q12809
DB00308,P54289
DB00308,Q06432
DB00308,O00180
DB00308,Q9Y257
DB00308,Q9H252
DB00308,Q9NS40
DB00308,Q14654
DB00310,P00915
DB00310,Q13621
DB00316,P35354
DB00316,P23219
DB00316,Q15185
DB00316,Q8NER1
DB00319,Q75Y35
DB00319,P0A3M6
DB00319,Q8DNB6
DB00319,Q7CRA4
DB00321,P23975
DB00321,P31645
DB00321,P28223
DB00321,P08908
DB00321,P41143
DB00321,P41145
DB00321,P04629
DB00321,Q16620
DB00321,P35348
DB00321,P25100
DB00321,P08913
DB00321,P35367
DB00321,O43526
DB00321,Q09470
DB00321,P25021
DB00321,Q9H3N8
DB00321,Q99720
DB00321,P28335
DB00321,P35368
DB00321,P34969
DB00321,P28221
DB00321,P35372
DB00321,P28222
DB00321,P50406
DB00321,O43525
DB00321,P08909
DB00321,P11229
DB00321,P08172
DB00321,P20309
DB00321,P08173
DB00321,P08912
DB00321,Q12809
DB00321,Q9H252
DB00321,Q9NS40
DB00322,P04818
DB00331,Q16134
DB00331,Q9Y478
DB00331,P21695
DB00333,P35372
DB00333,Q05586
DB00333,Q12879
DB00333,Q13224
DB00333,Q14957
DB00333,O15399
DB00333,Q8TCU5
DB00333,O60391
DB00333,P41143
DB00333,P36544
DB00333,P46098
DB00333,P32297
DB00333,P43681
DB00333,P17787
DB00335,P08588
DB00335,P07550
DB00340,P11229
DB00340,P08172
DB00340,P20309
DB00340,P08173
DB00340,P08912
DB00341,P35367
DB00347,O43497
DB00353,P21728
DB00353,P41595
DB00354,P35367
DB00354,P11229
DB00355,P42971
DB00355,P05193
DB00355,Q47066
DB00356,Q12791
DB00363,P14416
DB00363,P28223
DB00363,P21728
DB00363,P35462
DB00363,P21917
DB00363,P08908
DB00363,P28222
DB00363,P28221
DB00363,P28566
DB00363,P46098
DB00363,P28335
DB00363,P50406
DB00363,P34969
DB00363,P35367
DB00363,Q9H3N8
DB00363,P35348
DB00363,P35368
DB00363,P08913
DB00363,P18089
